canonical_id,runtime_id,source,kind,name,category,subcategory,from,to,status,search_visible,duplicate_of,added_in,added_at,updated_at,is_new,featured,featured_order,route,legacy_route,legacy_ids,aliases,keywords,exact_tokens
jpg-pdf,jpg-pdf,platform,file,JPG → PDF,pdf,image-pdf,JPG,PDF,published,true,,,,,false,true,1,?tool=jpg-pdf,?category=pdf&convert=jpg-pdf,jpg-pdf,JPG를 PDF로 | JPG PDF 변환 | JPG에서 PDF,pdf 변환 | 피디에프 변환 | PDF | image-pdf | JPG | jpeg | 제이피지 | 사진 | 이미지 | 피디에프 | 문서,
png-pdf,png-pdf,platform,file,PNG → PDF,pdf,image-pdf,PNG,PDF,published,true,,,,,false,false,0,?tool=png-pdf,?category=pdf&convert=png-pdf,png-pdf,PNG를 PDF로 | PNG PDF 변환 | PNG에서 PDF,pdf 변환 | 피디에프 변환 | PDF | image-pdf | PNG | 피엔지 | 투명 이미지 | 이미지 | 피디에프 | 문서,
webp-pdf,webp-pdf,platform,file,WebP → PDF,pdf,image-pdf,WebP,PDF,published,true,,,,,false,false,0,?tool=webp-pdf,?category=pdf&convert=webp-pdf,webp-pdf,WebP를 PDF로 | WebP PDF 변환 | WebP에서 PDF,pdf 변환 | 피디에프 변환 | PDF | image-pdf | WebP | 웹피 | 웹 이미지 | 이미지 | 피디에프 | 문서,
pdf-jpg,pdf-jpg,platform,file,PDF → JPG,pdf,pdf-image,PDF,JPG,published,true,,,,,false,true,2,?tool=pdf-jpg,?category=pdf&convert=pdf-jpg,pdf-jpg,PDF를 JPG로 | PDF JPG 변환 | PDF에서 JPG,pdf 변환 | 피디에프 변환 | PDF | pdf-image | 피디에프 | 문서 | JPG | jpeg | 제이피지 | 사진 | 이미지,
pdf-png,pdf-png,platform,file,PDF → PNG,pdf,pdf-image,PDF,PNG,published,true,,,,,false,false,0,?tool=pdf-png,?category=pdf&convert=pdf-png,pdf-png,PDF를 PNG로 | PDF PNG 변환 | PDF에서 PNG,pdf 변환 | 피디에프 변환 | PDF | pdf-image | 피디에프 | 문서 | PNG | 피엔지 | 투명 이미지 | 이미지,
pdf-docx,pdf-docx,platform,file,PDF → Word,pdf,pdf-docx-basic,PDF,DOCX,published,true,,,,,false,true,3,?tool=pdf-docx,?category=pdf&convert=pdf-docx,pdf-docx,PDF를 DOCX로 | PDF DOCX 변환 | PDF에서 DOCX,pdf 변환 | 피디에프 변환 | PDF | pdf-docx-basic | 피디에프 | 문서 | DOCX | word | 워드 | 워드 문서,
docx-pdf,docx-pdf,platform,file,Word → PDF,pdf,docx-pdf-basic,DOCX,PDF,published,true,,,,,false,true,4,?tool=docx-pdf,?category=pdf&convert=docx-pdf,docx-pdf,DOCX를 PDF로 | DOCX PDF 변환 | DOCX에서 PDF,pdf 변환 | 피디에프 변환 | PDF | docx-pdf-basic | DOCX | word | 워드 | 워드 문서 | 피디에프 | 문서,
pdf-xlsx,pdf-xlsx,platform,file,PDF → Excel,pdf,office,PDF,XLSX,published,true,,,,,false,true,5,?tool=pdf-xlsx,?category=pdf&convert=pdf-xlsx,pdf-xlsx,PDF를 XLSX로 | PDF XLSX 변환 | PDF에서 XLSX,pdf 변환 | 피디에프 변환 | PDF | office | 피디에프 | 문서 | XLSX | excel | 엑셀 | 엑셀 파일,
xlsx-pdf,xlsx-pdf,platform,file,Excel → PDF,pdf,office,XLSX,PDF,published,true,,,,,false,false,0,?tool=xlsx-pdf,?category=pdf&convert=xlsx-pdf,xlsx-pdf,XLSX를 PDF로 | XLSX PDF 변환 | XLSX에서 PDF,pdf 변환 | 피디에프 변환 | PDF | office | XLSX | excel | 엑셀 | 엑셀 파일 | 피디에프 | 문서,
pdf-pptx,pdf-pptx,platform,file,PDF → PPT,pdf,office,PDF,PPTX,published,true,,,,,false,false,0,?tool=pdf-pptx,?category=pdf&convert=pdf-pptx,pdf-pptx,PDF를 PPTX로 | PDF PPTX 변환 | PDF에서 PPTX,pdf 변환 | 피디에프 변환 | PDF | office | 피디에프 | 문서 | PPTX | powerpoint | 파워포인트 | 프레젠테이션,
pptx-pdf,pptx-pdf,platform,file,PPT → PDF,pdf,office,PPTX,PDF,published,true,,,,,false,true,6,?tool=pptx-pdf,?category=pdf&convert=pptx-pdf,pptx-pdf,PPTX를 PDF로 | PPTX PDF 변환 | PPTX에서 PDF,pdf 변환 | 피디에프 변환 | PDF | office | PPTX | powerpoint | 파워포인트 | 프레젠테이션 | 피디에프 | 문서,
pdf-txt,pdf-txt,platform,file,PDF → TXT,pdf,pdf-text,PDF,TXT,published,true,,,,,false,false,0,?tool=pdf-txt,?category=pdf&convert=pdf-txt,pdf-txt,PDF를 TXT로 | PDF TXT 변환 | PDF에서 TXT,pdf 변환 | 피디에프 변환 | PDF | pdf-text | 피디에프 | 문서 | TXT | 텍스트 | 메모장,
txt-pdf,txt-pdf,platform,file,TXT → PDF,pdf,text-pdf,TXT,PDF,published,true,,,,,false,false,0,?tool=txt-pdf,?category=pdf&convert=txt-pdf,txt-pdf,TXT를 PDF로 | TXT PDF 변환 | TXT에서 PDF,pdf 변환 | 피디에프 변환 | PDF | text-pdf | TXT | 텍스트 | 메모장 | 피디에프 | 문서,
pdf-html,pdf-html,platform,file,PDF → HTML,pdf,pdf-text,PDF,HTML,published,true,,,,,false,false,0,?tool=pdf-html,?category=pdf&convert=pdf-html,pdf-html,PDF를 HTML로 | PDF HTML 변환 | PDF에서 HTML,pdf 변환 | 피디에프 변환 | PDF | pdf-text | 피디에프 | 문서 | HTML | htm | 웹 문서,
html-pdf,html-pdf,platform,file,HTML → PDF,pdf,html-pdf,HTML,PDF,published,true,,,,,false,false,0,?tool=html-pdf,?category=pdf&convert=html-pdf,html-pdf,HTML를 PDF로 | HTML PDF 변환 | HTML에서 PDF,pdf 변환 | 피디에프 변환 | PDF | html-pdf | HTML | htm | 웹 문서 | 피디에프 | 문서,
pdf-svg,pdf-svg,platform,file,PDF → SVG,pdf,pdf-svg-raster,PDF,SVG,published,true,,,,,false,false,0,?tool=pdf-svg,?category=pdf&convert=pdf-svg,pdf-svg,PDF를 SVG로 | PDF SVG 변환 | PDF에서 SVG,pdf 변환 | 피디에프 변환 | PDF | pdf-svg-raster | 피디에프 | 문서 | SVG | 벡터 이미지,
svg-pdf,svg-pdf,platform,file,SVG → PDF,pdf,svg-pdf-raster,SVG,PDF,published,true,,,,,false,false,0,?tool=svg-pdf,?category=pdf&convert=svg-pdf,svg-pdf,SVG를 PDF로 | SVG PDF 변환 | SVG에서 PDF,pdf 변환 | 피디에프 변환 | PDF | svg-pdf-raster | SVG | 벡터 이미지 | 피디에프 | 문서,
doc-docx-txt,doc-docx-txt,platform,file,DOCX → TXT,document,docx-txt,DOCX,TXT,published,true,,,,,false,false,0,?tool=doc-docx-txt,?category=document&convert=doc-docx-txt,doc-docx-txt,DOCX를 TXT로 | DOCX TXT 변환 | DOCX에서 TXT,문서 변환 | 오피스 변환 | 문서 | docx-txt | DOCX | word | 워드 | 워드 문서 | TXT | 텍스트 | 메모장,
doc-txt-docx,doc-txt-docx,platform,file,TXT → DOCX,document,txt-docx,TXT,DOCX,published,true,,,,,false,false,0,?tool=doc-txt-docx,?category=document&convert=doc-txt-docx,doc-txt-docx,TXT를 DOCX로 | TXT DOCX 변환 | TXT에서 DOCX,문서 변환 | 오피스 변환 | 문서 | txt-docx | TXT | 텍스트 | 메모장 | DOCX | word | 워드 | 워드 문서,
doc-docx-html,doc-docx-html,platform,file,DOCX → HTML,document,docx-html,DOCX,HTML,published,true,,,,,false,false,0,?tool=doc-docx-html,?category=document&convert=doc-docx-html,doc-docx-html,DOCX를 HTML로 | DOCX HTML 변환 | DOCX에서 HTML,문서 변환 | 오피스 변환 | 문서 | docx-html | DOCX | word | 워드 | 워드 문서 | HTML | htm | 웹 문서,
doc-html-docx,doc-html-docx,platform,file,HTML → DOCX,document,html-docx,HTML,DOCX,published,true,,,,,false,false,0,?tool=doc-html-docx,?category=document&convert=doc-html-docx,doc-html-docx,HTML를 DOCX로 | HTML DOCX 변환 | HTML에서 DOCX,문서 변환 | 오피스 변환 | 문서 | html-docx | HTML | htm | 웹 문서 | DOCX | word | 워드 | 워드 문서,
doc-docx-rtf,doc-docx-rtf,platform,file,DOCX → RTF,document,docx-rtf,DOCX,RTF,published,true,,,,,false,false,0,?tool=doc-docx-rtf,?category=document&convert=doc-docx-rtf,doc-docx-rtf,DOCX를 RTF로 | DOCX RTF 변환 | DOCX에서 RTF,문서 변환 | 오피스 변환 | 문서 | docx-rtf | DOCX | word | 워드 | 워드 문서 | RTF,
doc-rtf-docx,doc-rtf-docx,platform,file,RTF → DOCX,document,rtf-docx,RTF,DOCX,published,true,,,,,false,false,0,?tool=doc-rtf-docx,?category=document&convert=doc-rtf-docx,doc-rtf-docx,RTF를 DOCX로 | RTF DOCX 변환 | RTF에서 DOCX,문서 변환 | 오피스 변환 | 문서 | rtf-docx | RTF | DOCX | word | 워드 | 워드 문서,
doc-docx-odt,doc-docx-odt,platform,file,DOCX → ODT,document,docx-odt,DOCX,ODT,published,true,,,,,false,false,0,?tool=doc-docx-odt,?category=document&convert=doc-docx-odt,doc-docx-odt,DOCX를 ODT로 | DOCX ODT 변환 | DOCX에서 ODT,문서 변환 | 오피스 변환 | 문서 | docx-odt | DOCX | word | 워드 | 워드 문서 | ODT,
doc-odt-docx,doc-odt-docx,platform,file,ODT → DOCX,document,odt-docx,ODT,DOCX,published,true,,,,,false,false,0,?tool=doc-odt-docx,?category=document&convert=doc-odt-docx,doc-odt-docx,ODT를 DOCX로 | ODT DOCX 변환 | ODT에서 DOCX,문서 변환 | 오피스 변환 | 문서 | odt-docx | ODT | DOCX | word | 워드 | 워드 문서,
doc-xlsx-csv,doc-xlsx-csv,platform,file,XLSX → CSV,document,xlsx-csv,XLSX,CSV,published,false,xlsx-csv,,,,false,false,0,?tool=doc-xlsx-csv,?category=document&convert=doc-xlsx-csv,doc-xlsx-csv,XLSX를 CSV로 | XLSX CSV 변환 | XLSX에서 CSV,문서 변환 | 오피스 변환 | 문서 | xlsx-csv | XLSX | excel | 엑셀 | 엑셀 파일 | CSV | 쉼표 데이터 | 표 데이터,
doc-csv-xlsx,doc-csv-xlsx,platform,file,CSV → XLSX,document,csv-xlsx,CSV,XLSX,published,false,csv-xlsx,,,,false,false,0,?tool=doc-csv-xlsx,?category=document&convert=doc-csv-xlsx,doc-csv-xlsx,CSV를 XLSX로 | CSV XLSX 변환 | CSV에서 XLSX,문서 변환 | 오피스 변환 | 문서 | csv-xlsx | CSV | 쉼표 데이터 | 표 데이터 | XLSX | excel | 엑셀 | 엑셀 파일,
doc-xlsx-tsv,doc-xlsx-tsv,platform,file,XLSX → TSV,document,xlsx-tsv,XLSX,TSV,published,true,,,,,false,false,0,?tool=doc-xlsx-tsv,?category=document&convert=doc-xlsx-tsv,doc-xlsx-tsv,XLSX를 TSV로 | XLSX TSV 변환 | XLSX에서 TSV,문서 변환 | 오피스 변환 | 문서 | xlsx-tsv | XLSX | excel | 엑셀 | 엑셀 파일 | TSV | 탭 데이터 | 표 데이터,
